Image,GT_Count,AI_Count,Matched,FP,FN,Count_Error,GT_Area_px,AI_Area_px,GT_Area_um2,AI_Area_um2,Area_Diff_pct,Pipeline_ms
ROSILHA-M-B_003_jpg.rf.863a24cebe30a134937348de5cbcaa87.jpg,20,20,16,4,4,0,185017,190338,66724.797,68643.7701,2.8759519395515007,1095.589900156483
ROSILHA-M-B_009_jpg.rf.d2aa8881a0b4f54b4bdb89392b953e71.jpg,44,42,39,3,5,-2,175663,177266,63351.357,63929.4652,0.9125427665473094,3145.2681000810117
ROSILHA-M-D_006_jpg.rf.de71085683e9c7eb460be0f184fb31ac.jpg,39,39,33,6,6,0,133370,149442,48098.7487,53894.9779,12.050686061333133,3145.6626001745462
ROSILHA-M-D_009_jpg.rf.b52035c8fe5fd87e1eed76dc4bbe6a14.jpg,26,25,25,0,1,-1,199369,194299,71900.723,70072.2709,-2.5430232383168896,1390.6441999133676
ROSILHA-M-G_001_jpg.rf.3dab74a9f6c203f6aca8afc07a353bd2.jpg,18,20,18,2,0,2,66098,72141,23837.6778,26017.034,9.142485400465974,715.4292999766767
ROSILHA-M-G_005_jpg.rf.afae2fb85329c0fe56679d51ca1c64fd.jpg,13,13,10,3,3,0,159417,202923,57492.3762,73182.4426,27.290690453339355,561.12219998613
ROSILHA-M-G_017_jpg.rf.85fc7b8a7b63a2cbb64907a1c82d5d51.jpg,17,17,15,2,2,0,60626,52122,21864.2479,18797.3531,-14.026985121894898,544.9399999342859
TORDILHA-B_009_jpg.rf.5902113a7929ec9592dc2b09471de461.jpg,48,48,44,4,4,0,103220,109442,37225.4093,39469.3203,6.027901569463282,4132.989899953827
TORDILHA-B_010_jpg.rf.698124083a3806b10e86f6304c2b5ce1.jpg,31,31,28,3,3,0,144210,155608,52008.1019,56118.693,7.903751473545524,2133.4320998284966
TORDILHA-B_012_jpg.rf.0b5caafb1952d960be9aa54f5506bf96.jpg,41,40,37,3,4,-1,131075,128222,47271.0766,46242.1665,-2.176616440968911,3127.337200101465
TORDILHA-D_001_jpg.rf.36e39c15aad81283f9bcc0f8afcd649f.jpg,24,21,20,1,4,-3,216445,186412,78059.0362,67227.8918,-13.875580401487674,1192.2945000696927
TORDILHA-D_006_jpg.rf.d879d44ef1add0b327aa39f6650afc47.jpg,35,29,25,4,10,-6,221011,146274,79705.725,52752.4658,-33.81596391129853,1790.563700022176
TORDILHA-G_009_jpg.rf.b279af9f6892d54790621c0f5458daf3.jpg,37,34,32,2,5,-3,148555,140233,53575.0889,50573.8309,-5.601965601965602,2523.532999912277
TOSTADA-B_003_jpg.rf.ef070508fe8cf028db79cd03961c37d8.jpg,26,25,22,3,4,-1,107559,99255,38790.2325,35795.466,-7.720413912364377,1207.315299892798
TOSTADA-B_006_jpg.rf.fd9a20fd791843647a700cdeb77e0cc3.jpg,24,23,20,3,4,-1,120160,93996,43334.6753,33898.8527,-21.774300932090547,1077.3239999543875
TOSTADA-G_009_jpg.rf.506f019d1e54427e5f81510789439725.jpg,42,38,37,1,5,-4,180289,186473,65019.6843,67249.891,3.430048422255379,2818.0263000540435
TOSTADA-G_011_jpg.rf.c0b219a9a6742c565eddfcdb51541b7d.jpg,30,31,28,3,2,1,167675,177800,60470.5532,64122.0478,6.038467272998361,1920.5930999014527
TP-B_001_jpg.rf.476ac40460a2659ffbad7973abf99d86.jpg,31,29,28,1,3,-2,138802,139378,50057.753,50265.4824,0.41497961124479477,1726.1226000264287
TP-D_010_jpg.rf.8e807d0647c50bd1b8d28134da2e26a4.jpg,47,47,42,5,5,0,118911,126050,42884.2341,45458.8533,6.00364978849728,3930.370399961248
TP-G_008_jpg.rf.7ce2f84776589571f8d07c60f1c4e63c.jpg,33,29,28,1,5,-4,137098,137781,49443.2199,49689.538,0.4981837809450175,2053.596699843183
TP-G_010_jpg.rf.5c8b394cdec2d68bae00b4eb6679ec08.jpg,37,34,32,2,5,-3,144333,135984,52052.4607,49041.4654,-5.784539918106047,2371.8427000567317
ZAINA-679-B_010_jpg.rf.4a3c6644c7fdcdc349eacebe9a97fbd7.jpg,38,42,35,7,3,4,191536,195125,69075.8186,70370.1607,1.873799181354941,2937.0191998314112
ZAINA-679-B_011_jpg.rf.27d46a055eff6f5810ec4c5c9429b994.jpg,24,24,23,1,1,0,225756,231695,81416.9686,83558.8181,2.6307163486241785,1271.6143000870943
ZAZA-B_008_jpg.rf.92ad451b5359143319a46e599a0239d1.jpg,28,26,17,9,11,-2,197356,260811,71174.7517,94059.2542,32.152556800908,1307.1740998420864
ZAZA-D_004_jpg.rf.02ed2d595bd7bc4d5f40bda7d3f8e5d2.jpg,35,34,33,1,2,-1,160274,156449,57801.4459,56421.9924,-2.3865380535832386,2401.4082001522183
ZAZA-G_010_jpg.rf.cd14098445a0a54c10014aaa7d8f975c.jpg,29,26,26,0,3,-3,115646,114247,41706.7398,41202.2024,-1.2097262335056984,1479.1218999307603
ZAZA-G_012_jpg.rf.b65fca463e4411032a599acd7494f06d.jpg,35,33,30,3,5,-2,155830,170891,56198.7554,61630.3761,9.665019572611179,2037.948199780658
